node_a,node_b,start_time,end_time,duration,avg_rssi,battery_a,battery_b
14,26,0.0,1.0,1.0,-100.1,62.4,78.0
16,54,0.0,1.0,1.0,-100.0,74.8,85.7
2,62,0.0,2.0,2.0,-100.0,36.9,70.1
6,32,0.0,3.0,3.0,-100.0,86.1,67.5
65,70,0.0,3.0,3.0,-100.0,83.5,38.4
35,47,0.0,5.0,5.0,-100.0,86.3,35.9
50,70,0.0,5.0,5.0,-100.0,97.1,38.4
10,23,0.0,6.0,6.0,-100.0,39.4,55.6
47,48,0.0,7.0,7.0,-100.0,35.9,95.5
3,70,0.0,9.0,9.0,-100.0,89.0,38.4
45,72,0.0,9.0,9.0,-100.0,36.6,36.1
4,61,0.0,11.0,11.0,-100.0,93.2,69.5
7,62,0.0,11.0,11.0,-100.0,84.6,70.1
14,15,0.0,12.0,12.0,-100.0,62.4,56.9
21,35,0.0,12.0,12.0,-100.0,46.3,86.3
12,14,0.0,14.0,14.0,-100.2,66.0,62.4
59,78,0.0,14.0,14.0,-100.0,73.1,92.9
8,12,0.0,15.0,15.0,-100.0,75.0,66.0
15,72,0.0,15.0,15.0,-100.0,56.9,36.1
59,76,0.0,15.0,15.0,-100.0,73.1,77.0
32,40,0.0,16.0,16.0,-100.1,67.5,44.2
7,58,0.0,19.0,19.0,-100.0,84.5,36.6
5,14,0.0,21.0,21.0,-100.0,98.5,62.4
22,32,0.0,21.0,21.0,-100.0,55.7,67.5
59,62,0.0,21.0,21.0,-100.0,73.1,70.0
14,25,0.0,22.0,22.0,-100.0,62.4,56.5
14,45,0.0,23.0,23.0,-100.0,62.4,36.6
4,22,0.0,24.0,24.0,-100.0,93.2,55.7
14,27,0.0,24.0,24.0,-100.0,62.4,50.8
56,65,0.0,25.0,25.0,-100.0,47.7,83.4
41,78,1.0,25.0,24.0,-100.0,78.6,92.9
14,40,0.0,26.0,26.0,-100.0,62.4,44.1
31,32,0.0,26.0,26.0,-100.1,53.0,67.5
6,14,0.0,28.0,28.0,-100.0,86.1,62.4
32,67,0.0,28.0,28.0,-100.0,67.5,64.4
54,74,0.0,28.0,28.0,-100.0,85.6,59.3
1,9,0.0,29.0,29.0,-100.1,94.7,84.5
1,57,0.0,29.0,29.0,-100.0,94.7,71.3
14,31,0.0,29.0,29.0,-100.0,62.4,53.0
31,78,0.0,30.0,30.0,-100.0,53.0,92.9
32,56,0.0,30.0,30.0,-100.0,67.4,47.7
12,27,0.0,31.0,31.0,-100.0,66.0,50.7
73,77,0.0,31.0,31.0,-100.0,76.0,53.3
7,76,0.0,32.0,32.0,-100.0,84.5,77.0
66,75,0.0,32.0,32.0,-100.0,85.9,84.2
25,72,0.0,34.0,34.0,-100.0,56.5,36.1
68,74,0.0,35.0,35.0,-100.0,71.9,59.3
5,32,0.0,36.0,36.0,-100.0,98.5,67.4
14,77,0.0,36.0,36.0,-100.2,62.4,53.3
44,47,0.0,36.0,36.0,-100.0,73.0,35.9
1,64,0.0,37.0,37.0,-100.0,94.7,66.5
4,18,0.0,37.0,37.0,-100.0,93.1,39.7
7,71,0.0,37.0,37.0,-100.0,84.5,38.2
18,70,0.0,37.0,37.0,-100.0,39.7,38.3
67,78,0.0,37.0,37.0,-100.0,64.4,92.8
14,67,0.0,38.0,38.0,-100.0,62.4,64.4
18,32,0.0,38.0,38.0,-100.0,39.7,67.4
24,37,0.0,39.0,39.0,-100.0,52.9,74.3
