time,active_nodes,total_contacts,avg_degree,connectivity
0.0,80,505,12.62,0.1598
60.0,80,601,15.03,0.1902
120.0,80,682,17.05,0.2158
180.0,80,704,17.60,0.2228
240.0,80,730,18.25,0.2310
300.0,80,721,18.02,0.2282
360.0,80,665,16.62,0.2104
420.0,80,741,18.52,0.2345
480.0,80,702,17.55,0.2222
540.0,80,717,17.93,0.2269
600.0,80,688,17.20,0.2177
660.0,80,693,17.32,0.2193
720.0,80,713,17.82,0.2256
780.0,80,659,16.48,0.2085
840.0,80,683,17.07,0.2161
900.0,80,670,16.75,0.2120
960.0,80,735,18.38,0.2326
1020.0,80,768,19.20,0.2430
1080.0,80,752,18.80,0.2380
1140.0,80,672,16.80,0.2127
1200.0,80,625,15.62,0.1978
1260.0,80,614,15.35,0.1943
1320.0,80,595,14.88,0.1883
1380.0,80,564,14.10,0.1785
1440.0,80,599,14.97,0.1896
1500.0,80,619,15.47,0.1959
1560.0,80,684,17.10,0.2165
1620.0,80,702,17.55,0.2222
1680.0,80,690,17.25,0.2184
1740.0,80,668,16.70,0.2114
1800.0,80,666,16.65,0.2108
1860.0,80,653,16.32,0.2066
1920.0,80,637,15.93,0.2016
1980.0,80,643,16.07,0.2035
2040.0,80,671,16.77,0.2123
2100.0,80,627,15.68,0.1984
2160.0,80,654,16.35,0.2070
2220.0,80,688,17.20,0.2177
2280.0,80,746,18.65,0.2361
2340.0,80,742,18.55,0.2348
2400.0,80,719,17.98,0.2275
2460.0,80,738,18.45,0.2335
2520.0,80,728,18.20,0.2304
2580.0,80,781,19.52,0.2472
2640.0,80,773,19.32,0.2446
2700.0,80,694,17.35,0.2196
2760.0,80,728,18.20,0.2304
2820.0,80,683,17.07,0.2161
2880.0,80,660,16.50,0.2089
2940.0,80,608,15.20,0.1924
3000.0,80,603,15.07,0.1908
3060.0,80,647,16.18,0.2047
3120.0,80,683,17.07,0.2161
3180.0,80,715,17.88,0.2263
3240.0,80,732,18.30,0.2316
3300.0,80,668,16.70,0.2114
3360.0,80,620,15.50,0.1962
3420.0,80,606,15.15,0.1918
3480.0,80,591,14.78,0.1870
3540.0,80,591,14.78,0.1870
