node_id,type,init_x,init_y,battery,speed
0,survivor,7.36,786.92,33.6,0.91
1,rescue_worker,705.17,780.73,94.7,2.44
2,survivor,568.74,139.80,36.9,1.59
3,survivor,668.40,471.10,89.1,1.22
4,rescue_worker,765.00,634.72,93.2,4.85
5,survivor,559.21,303.95,98.6,0.68
6,survivor,436.72,214.58,86.1,1.18
7,rescue_worker,853.40,233.94,84.6,3.33
8,survivor,281.38,293.59,75.0,0.67
9,survivor,557.03,783.90,84.5,1.76
10,survivor,406.39,814.02,39.4,1.48
11,survivor,22.71,90.05,67.5,0.86
12,survivor,461.88,161.27,66.0,1.87
13,rescue_worker,152.31,696.32,90.0,2.15
14,rescue_worker,381.02,301.51,62.4,4.55
15,survivor,361.81,87.65,57.0,1.66
16,survivor,961.90,908.58,74.8,0.80
17,survivor,265.87,969.18,48.7,1.45
18,survivor,716.89,449.36,39.8,0.79
19,survivor,96.39,902.60,63.5,1.42
20,survivor,202.36,305.96,59.2,1.83
21,trapped,176.77,856.61,46.3,0.00
22,trapped,719.46,432.09,55.7,0.00
23,trapped,584.10,649.85,55.6,0.00
24,rescue_worker,415.81,41.61,52.9,3.73
25,trapped,329.86,144.52,56.6,0.00
26,survivor,587.64,170.59,78.0,1.21
27,survivor,581.06,346.87,50.8,0.96
28,rescue_worker,22.80,958.56,96.4,3.24
29,survivor,782.74,82.73,94.1,0.98
30,survivor,490.71,937.83,63.7,0.84
31,survivor,473.49,266.98,53.0,1.47
32,rescue_worker,520.67,438.91,67.5,3.65
33,trapped,826.29,896.16,89.4,0.00
34,survivor,554.04,108.58,75.7,1.88
35,rescue_worker,281.23,659.42,86.3,2.94
36,trapped,768.65,107.74,67.3,0.00
37,survivor,230.21,37.41,74.3,0.92
38,survivor,370.92,829.79,50.2,1.61
39,survivor,317.14,952.90,81.4,1.06
40,trapped,515.06,255.97,44.2,0.00
41,rescue_worker,164.61,44.91,78.6,4.32
42,survivor,992.38,891.68,90.3,1.08
43,survivor,890.79,893.45,39.2,1.29
44,survivor,315.93,772.01,73.0,1.98
45,rescue_worker,373.66,94.47,36.7,2.42
46,survivor,262.46,936.81,80.8,1.63
47,survivor,122.76,831.11,35.9,0.77
48,rescue_worker,179.27,599.38,95.5,2.88
49,survivor,196.43,310.32,39.6,0.63
50,rescue_worker,971.83,500.74,97.1,3.95
51,rescue_worker,13.94,229.66,86.1,3.10
52,survivor,677.66,121.83,71.6,1.22
53,survivor,694.26,581.12,84.8,1.86
54,survivor,804.12,715.41,85.7,1.25
55,survivor,131.06,123.75,96.2,1.88
56,trapped,397.58,300.95,47.7,0.00
57,trapped,662.86,955.62,71.3,0.00
58,rescue_worker,924.81,24.86,36.7,2.02
59,rescue_worker,633.98,105.90,73.1,4.95
60,survivor,419.11,966.23,42.0,1.85
61,survivor,933.02,804.36,69.5,1.80
62,trapped,784.76,17.84,70.1,0.00
63,survivor,829.43,796.82,62.6,1.98
64,trapped,530.77,606.02,66.6,0.00
65,survivor,603.11,412.57,83.5,1.67
66,survivor,425.88,651.93,85.9,1.97
67,survivor,453.90,247.84,64.5,1.33
68,survivor,746.01,816.57,72.0,0.56
69,rescue_worker,66.56,594.43,95.2,4.03
70,survivor,824.66,310.33,38.4,1.61
71,survivor,920.97,165.53,38.2,1.43
72,rescue_worker,153.61,115.49,36.1,4.03
73,survivor,55.40,174.64,76.1,1.51
74,survivor,591.14,680.71,59.3,1.78
75,rescue_worker,317.99,504.53,84.2,2.82
76,survivor,851.13,43.48,77.0,1.01
77,rescue_worker,236.74,249.39,53.4,2.89
78,trapped,416.26,49.25,92.9,0.00
79,survivor,523.75,101.67,83.4,1.09
